ProdCode,Customer,ProdName,ArticleNum,MatNum,OpSystem,DBAccName,DBAccVers,HostName,WkStNmae,AdpNum,ProcName,ProcNum,WkOrder,AVO,TPVersion,tLogIn,tLogOut,tLastAcc,tLatenz,tLatenzSumme,tCycle,tProc,FPY,CountPass,CountFail,CountPass_Retest,CountFail_Retest
5994,Telic,ELT-Main 74370.000 R,13603082-01BF,13603082-01BF,Win8/Srv,DBAcc2000,1.0016.0012,KATPC399,0467/A,16123,FKT,9,,,1.6.4:1675264:1,10/11/2022 6:00,10/11/2022 7:26,10/11/2022 7:25,30,30,202.76,207.89,75,18,6,1,1
6679,BSH,LP IaB NF61,10000025,30003997,Win7/Srv,DBAcc2000,1.0016.0011,KATPC051,0342/A,11/14/2200/02/A,Endtest_Adapter,19,1259874,0010,,10/11/2022 6:00,10/11/2022 6:00,10/11/2022 6:00,0,,,0,100,0,0,0,0
6964,Kinexon,X-Tag 1.3,10000045,,Win8/Srv,DBAcc2000,1.0016.0012,KATPC420,0476/A,16145,FKT,5,,,1.09:258048:090,10/11/2022 6:00,10/11/2022 14:00,10/11/2022 6:00,0,,,0,100,0,0,0,0
6964,Kinexon,X-Tag 1.3,10000045,30004020,Win8/Srv,DBAcc2000,1.0016.0017,KATPC186,0480/A,,BG-Versand,7,,,,10/11/2022 6:00,,10/11/2022 6:00,0,,,0,100,0,0,0,0
5438,BSH,LP MMU JupiterSaturn,13601338-03BF,,Win7/Srv,DBAcc2000,1.16.3,KATPC268,0438/A,03/15/2123/02/A,FKTHand,19,,,,10/11/2022 6:00,10/11/2022 14:00,10/11/2022 6:00,0,,,0,100,0,0,0,0
5746,DataModul,eMotion NT3:3 - 1204,30003766BF,,Win7/Srv,DBAcc2000,1.0016.0012,KATPC397,458,17795,FKT,7,,,1.00:196608:020,10/11/2022 6:00,10/11/2022 14:00,10/11/2022 6:00,0,,,0,100,0,0,0,0
7020,BSH,COMGen2 ADM 80010814,13602774-06,30003441-06,Win7/Srv,DBAcc2000,1.16.2,KATPC319,,,BG-Versand,7,,,,10/11/2022 6:00,10/11/2022 14:00,10/11/2022 13:48,691,21180,83.23,0.09,100,348,0,0,0
5895,BSH,ED_MMB_STM32F4_V2,13602566-04BF,13602566-04BF,Win7/Srv,DBAcc2000,1.0016.0011,KATPC396,0463/A,02/15/2251/01/A,IctFkt_MTS,4,1258746,0040,,10/11/2022 6:00,10/11/2022 12:29,10/11/2022 6:00,0,,,0,100,0,0,0,0
2057,BSH,LP BT HV2,13600282BF,30001876BF,WIN_XP/2,DBAcc2000,1.16.3,PTWS137,,,BG-Versand,11,,,,10/11/2022 6:00,10/11/2022 7:30,10/11/2022 7:28,0,750,453.08,0.46,100,13,0,0,0
5341,BSH,SE-LP IC6 Touch_Vent,13602154-02BF,,Win7/Srv,DBAcc2000,1.16.2,KATPC144,,,Montage_Auto,11,,,1.07:569344:210,10/11/2022 6:00,10/11/2022 7:25,10/11/2022 6:54,1861,3060,196.55,55.6,100,20,0,0,0
9999,Tremec,TRC75,V2417,,Win7/Srv,DBAcc2000,1.0016.0017,KATPC233,0418/A,11806,Leer_nach_Versc,4,,,,10/11/2022 6:00,10/11/2022 6:19,10/11/2022 6:00,0,,,0,100,0,0,0,0
6675,BSH,LP IaB SE61-S,10000021,30004001,Win7/Srv,DBAcc2000,1.0016.0011,KATPC007,0332/A,01/14/2183/01/A,Endtest_Adapter,19,1260976,0010,,10/11/2022 6:00,10/11/2022 6:10,10/11/2022 6:09,60,60,32.88,27.67,100,18,0,0,0
9999,Tremec,TRC75,V2417,,Win7/Srv,DBAcc2000,1.0016.0017,KATPC189,0464/A,,WT-PRG2-Befülle,11,,,,10/11/2022 6:00,,10/11/2022 6:00,0,,,0,100,0,0,0,0
7020,BSH,COMGen2 ADM 80010814,13602774-06,13900009,Win7/Srv,DBAcc2000,1.16.3,LINIE1W2W7T1,sern981121,15,IctProgInline,17,,,,10/11/2022 6:00,10/11/2022 10:54,10/11/2022 10:53,57,1980,92.89,60.33,99.94,1607,1,0,0
4887,BSH,COMGen2 ADM 80010681,13602564-02BF,13900707BF,Win8/Srv,DBAcc2000,1.0016.0016,KATPC424,,,Montage,6,,,,10/11/2022 6:00,,10/11/2022 6:00,0,,,0,100,0,0,0,0
7196,AMO,Platine P6.DSER.H_SE,30003968-01,,Win8/Srv,DBAcc2000,1.0016.0016,KATPC369,,,FKTHand,7,,,,10/11/2022 6:00,10/11/2022 8:27,10/11/2022 8:25,90,90,463.38,105.29,100,79,0,1,2
6964,Kinexon,X-Tag 1.3,10000045,,Win8/Srv,DBAcc2000,1.0016.0017,KATPC460,,,EOL,10,,,2.04:188416:270,10/11/2022 6:00,10/11/2022 14:00,10/11/2022 6:00,0,,,0,100,0,0,0,0
7058,Tremec,TRC75_C6_063.0_02,10000127,20000064,Win7/Srv,DBAcc2000,1.0016.0017,KATPC233,0418/A,11806,Montage,8,,,2.30:3612672:08,10/11/2022 6:00,10/11/2022 6:18,10/11/2022 6:00,0,,,0,100,0,0,0,0
6111,BSH,LP IaB SE_NF_61,30003716-04BF,,Win7/Srv,DBAcc2000,1.0016.0012,KATPC255,0439/A,,Endtest,10,,,,10/11/2022 6:00,10/11/2022 14:00,10/11/2022 6:00,0,,,0,100,0,0,0,0
